sl_no,is_code,description,download_link
1842,IS 7564-2:1974,"Recommendations for co-ordination of dimensions in buildings-Arrangement of building components and assemblies, Part 2: Functional group 2 External envelope",https://archive.org/download/gov.in.is.7564.2.1974/is.7564.2.1974.pdf
1843,IS 7564-3:1974,"Recommendations for co-ordination of dimensions in buildings-Arrangements of building components and assemblies, Part 3: Functional group 3 internal subdivision",https://archive.org/download/gov.in.is.7564.3.1974/is.7564.3.1974.pdf
1844,IS 7564-4:1975,"Recommendations for co-ordination of dimensions in buildings-Arrangements of building components and assemblies, Part 4: Functional group 4 services and drainage",https://archive.org/download/gov.in.is.7564.4.1975/is.7564.4.1975.pdf
1845,IS 7564-5:1974,"Recommendations for co-ordination of dimensions in buildings-Arrangements of building components and assemblies, Part 5: Functional group 5 Fixtures, furniture and equipment",https://archive.org/download/gov.in.is.7564.5.1974/is.7564.5.1974.pdf
1349,IS 654:1992,"Clay Roofing Tiles, Mangalore Pattern-Specification",https://archive.org/download/gov.in.is.654.1992/is.654.1992.pdf
1350,IS 1077:1992,Common Burnt Clay Building Bricks -Specification,https://archive.org/download/gov.in.is.1077.1992/is.1077.1992.pdf
1351,IS 1464:1992,Clay ridge and ceiling tiles-Specification,https://archive.org/download/gov.in.is.1464.1992/is.1464.1992.pdf
1352,IS 1478:1992,Clay flooring tiles-,https://archive.org/download/gov.in.is.1478.1992/is.1478.1992.pdf
1353,IS 1725:1982,soil-based blocks used in general building construction,https://archive.org/download/gov.in.is.1725.1982/is.1725.1982.pdf
1354,IS 2117:1991,Guide for the manufacture of handmade standard burnt-clay building bricks,https://archive.org/download/gov.in.is.2117.1991/is.2117.1991.pdf
1355,IS 2180:1988,Specification for heavy-duty burnt clay building bricks,https://archive.org/download/gov.in.is.2180.1988/is.2180.1988.pdf
1356,IS 2222:1991,Specification for burnt clay perforated building bricks,https://archive.org/download/gov.in.is.2222.1991/is.2222.1991.pdf
1357,IS 2248:1992,Glossary of terms relating to clay products for buildings,https://archive.org/download/gov.in.is.2248.1992/is.2248.1992.pdf
1358,IS 2690-1:1993,"Burnt clay flat terracing tiles- Specification, Part 1: Machine-made",https://archive.org/download/gov.in.is.2690.1.1993/is.2690.1.1993.pdf
1359,IS 2690-2:1992,"Burnt clay flat terracing tiles- Specification, Part 2: Hand-made",https://archive.org/download/gov.in.is.2690.2.1992/is.2690.2.1992.pdf
1360,IS 2691:1988,Burnt Clay Facing Bricks-Specification,https://archive.org/download/gov.in.is.2691.1988/is.2691.1988.pdf
1361,IS 3367:1993,Burnt clay tiles for use in lining irrigation and drainage works-Specification,https://archive.org/download/gov.in.is.3367.1993/is.3367.1993.pdf
1362,IS 3495-1 to 4:1992,"Methods of tests of burnt clay building bricks: Part 1 Determination of compressive strength, Part 2 Determination of water absorption, Part 3 Determination of efflorescence, Part 4: Determination of warpage",https://archive.org/download/gov.in.is.3495.1-4.1992/is.3495.1-4.1992.pdf
1363,IS 3583:1988,burnt clay paving bricks (BI-LINGUAL),https://archive.org/download/gov.in.is.3583.b.1988/is.3583.b.1988.pdf
1364,IS 3951-1:2009,"Hollow clay tiles for floors and roofs, Part 1: Filler type –",https://archive.org/download/gov.in.is.3951.1.2009/is.3951.1.2009.pdf
1365,IS 3951-2:2009,"Hollow clay tiles for floors and roofs, Part 2: Structural type",https://archive.org/download/gov.in.is.3951.2.2009/is.3951.2.2009.pdf
1366,IS 3952:1988,burnt clay hollow bricks for walls and partitions – Specification,https://archive.org/download/gov.in.is.3952.1988/is.3952.1988.pdf
1367,IS 3978:1967,Manufacture of burnt clay Mangalore pattern roofing tiles- Code of practice,https://archive.org/download/gov.in.is.3978.1967/is.3978.1967.pdf
1368,IS 4805:1978,Guide for the construction of the brick kiln,https://archive.org/download/gov.in.is.4805.1978/is.4805.1978.pdf
739,IS 653:1992,Linoleum Sheets And  Tiles,https://archive.org/download/gov.in.is.653.1992/is.653.1992.pdf
740,IS 657:1982,Materials for Use In The Manufacture of Magnesium Oxychloride  Flooring Compositions,https://archive.org/download/gov.in.is.657.1982/is.657.1982.pdf
741,IS 658:1982,Code of Practice for Magnesium Oxychloride Composition Floors,https://archive.org/download/gov.in.is.658.1982/is.658.1982.pdf
742,IS 809:1992,Rubber Flooring Materials For General Purposes,https://archive.org/download/gov.in.is.809.1992/is.809.1992.pdf
743,IS 1195:2002,Bitumen-Mastic for Flooring,https://archive.org/download/gov.in.is.1195.2002/is.1195.2002.pdf
744,IS 1196:1978,Code of practice for laying bitumen mastic flooring,https://archive.org/download/gov.in.is.1196.1978/is.1196.1978.pdf
745,IS 1197:1970,Code of practice for laying rubber floors,https://archive.org/download/gov.in.is.1197.1970/is.1197.1970.pdf
746,IS 1198:1982,"Code of practice for laying, fixing and maintenance of linoleum floor",https://archive.org/download/gov.in.is.1198.1982/is.1198.1982.pdf
747,IS 1237:2012,Cement Concrete Flooring Tiles – Specification,https://archive.org/download/gov.in.is.1237.2012/is.1237.2012.pdf
748,IS 1443:1972,Code of practice for laying and finishing cement concrete flooring tiles,https://archive.org/download/gov.in.is.1443.1972/is.1443.1972.pdf
749,IS 1542:1992,sand for plaster,https://archive.org/download/gov.in.is.1542.1992/is.1542.1992.pdf
750,IS 1630:1984,Mason’s tools for plaster work and pointing work,https://archive.org/download/gov.in.is.1630.1984/is.1630.1984.pdf
751,IS 1661:1972,Code of practice for the application of cement and cement-lime plaster finishes,https://archive.org/download/gov.in.is.1661.1972/is.1661.1972.pdf
752,IS 2114:1984,Code of practice for laying in-situ terrazzo floor finish,https://archive.org/download/gov.in.is.2114.1984/is.2114.1984.pdf
753,IS 2394:1984,Code of practice for the application of lime plaster finish,https://archive.org/download/gov.in.is.2394.1984/is.2394.1984.pdf
754,IS 2402:1963,Code of Practice for External Rendered Finishes,https://archive.org/download/gov.in.is.2402.1963/is.2402.1963.pdf
755,IS 2571:1970,Code of practice for laying in-situ cement concrete flooring,https://archive.org/download/gov.in.is.2571.1970/is.2571.1970.pdf
756,IS 3461:1980,PVC-asbestos floor tiles,https://archive.org/download/gov.in.is.3461.1980/is.3461.1980.pdf
757,IS 3462:1986,unbacked flexible PVC flooring,https://archive.org/download/gov.in.is.3462.1986/is.3462.1986.pdf
758,IS 3464:1986,Methods of Test for Plastic Flooring and Wall Tiles,https://archive.org/download/gov.in.is.3464.1986/is.3464.1986.pdf
