sl_no,is_code,description,download_link
1516,IS 4365:1967,Code of practice for the application of bitumen mastic for the waterproofing of roofs,https://archive.org/download/gov.in.is.4365.1967/is.4365.1967.pdf
1517,IS 4911:1986,Glossary of terms relating to bituminous waterproofing and damp-proofing of buildings,https://archive.org/download/gov.in.is.4911.1986/is.4911.1986.pdf
1518,IS 5871:1987,Bitumen mastic for tanking and damp-proofing,https://archive.org/download/gov.in.is.5871.1987/is.5871.1987.pdf
1519,IS 6494:1988,Code of practice for waterproofing of underground  water reservoirs and swimming pools,https://archive.org/download/gov.in.is.6494.1988/is.6494.1988.pdf
1520,IS 7193:1994,glass fibre base bitumen felts,https://archive.org/download/gov.in.is.7193.1994/is.7193.1994.pdf
1521,IS 7193:2013,glass fibre base bitumen felts,https://archive.org/download/gov.in.is.7193.2013/is.7193.2013.pdf
1522,IS 7198:1974,Code of practice for damp-proofing using bitumen mastic,https://archive.org/download/gov.in.is.7198.1974/is.7198.1974.pdf
1523,IS 7290:1979,Recommendations for the use of polyethene film for the waterproofing of roofs,https://archive.org/download/gov.in.is.7290.1979/is.7290.1979.pdf
1524,IS 9918:1981,Code of practice for in-situ waterproofing and damp-proofing treatments with glass fibre tissue-reinforced bitumen,https://archive.org/download/gov.in.is.9918.1981/is.9918.1981.pdf
1525,IS 12027:1987,silicone-based water repellents,https://archive.org/download/gov.in.is.12027.1987/is.12027.1987.pdf
1526,IS 12054:1987,Code of practice for the application of silicone-based water repellents,https://archive.org/download/gov.in.is.12054.1987/is.12054.1987.pdf
1527,IS 13182:1991,Waterproofing and Damp-Proofing of Wet Areas in Buildings – Recommendations,https://archive.org/download/gov.in.is.13182.1991/is.13182.1991.pdf
1378,IS 1829-1:1978,"library furniture and fittings, Part 1: Timber",https://archive.org/download/gov.in.is.1829.1.1978/is.1829.1.1978.pdf
1379,IS 1829-2:1993,"Library furniture and fittings, Part 2: Steel",https://archive.org/download/gov.in.is.1829.2.1993/is.1829.2.1993.pdf
1380,IS 1883:1983,metal shelving racks (adjustable type) – Specification,https://archive.org/download/gov.in.is.1883.1983/is.1883.1983.pdf
1381,IS 2695:1993,Drawing Filing Equipment – Specification,https://archive.org/download/gov.in.is.2695.1993/is.2695.1993.pdf
